

🏆央卫频道,#genre#
辽宁卫视,http://183.24.62.163:44443/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://183.24.62.163:44443/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://183.24.62.163:44443/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://183.24.62.163:44443/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://183.24.62.163:44443/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://183.24.62.163:44443/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
来自广东电信的酒店源(183.24.62.163:44443)共有56个频道：
重庆卫视,http://183.24.62.163:44443/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://183.24.62.163:44443/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://183.24.62.163:44443/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://183.24.62.163:44443/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://183.24.62.163:44443/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://183.24.62.163:44443/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://183.24.62.163:44443/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://183.24.62.163:44443/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://183.24.62.163:44443/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://183.24.62.163:44443/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://183.24.62.163:44443/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://183.24.62.163:44443/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://183.24.62.163:44443/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://183.24.62.163:44443/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://183.24.62.163:44443/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动画,http://183.24.62.163:44443/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://183.24.62.163:44443/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
█████████████████████████████████████████████
🏆大陆电视,#genre#
█████████████████████████████████████████████


*******************************************************************************************************

*******************************************************************************************************


*******************************************************************************************************

*******************************************************************************************************

来自山西电信的酒店源(110.178.211.107:9003)共有50个频道：
CCTV1,http://110.178.211.107:9003/hls/1/index.m3u8
CCTV2,http://110.178.211.107:9003/hls/2/index.m3u8
CCTV3,http://110.178.211.107:9003/hls/3/index.m3u8
CCTV4,http://110.178.211.107:9003/hls/4/index.m3u8
CCTV5,http://110.178.211.107:9003/hls/5/index.m3u8
CCTV5+,http://110.178.211.107:9003/hls/6/index.m3u8
CCTV6,http://110.178.211.107:9003/hls/7/index.m3u8
CCTV7,http://110.178.211.107:9003/hls/8/index.m3u8
CCTV8,http://110.178.211.107:9003/hls/9/index.m3u8
CCTV9,http://110.178.211.107:9003/hls/10/index.m3u8
CCTV10,http://110.178.211.107:9003/hls/11/index.m3u8
CCTV11,http://110.178.211.107:9003/hls/12/index.m3u8
CCTV12,http://110.178.211.107:9003/hls/13/index.m3u8
CCTV13,http://110.178.211.107:9003/hls/14/index.m3u8
CCTV14,http://110.178.211.107:9003/hls/15/index.m3u8
CCTV15,http://110.178.211.107:9003/hls/16/index.m3u8
CCTV16,http://110.178.211.107:9003/hls/17/index.m3u8
CCTV17,http://110.178.211.107:9003/hls/18/index.m3u8
山西卫视,http://110.178.211.107:9003/hls/19/index.m3u8
来自山西电信的酒店源(110.178.211.107:9003)共有50个频道：
北京卫视,http://110.178.211.107:9003/hls/20/index.m3u8
安徽卫视,http://110.178.211.107:9003/hls/21/index.m3u8
重庆卫视,http://110.178.211.107:9003/hls/22/index.m3u8
东方卫视,http://110.178.211.107:9003/hls/23/index.m3u8
福建卫视,http://110.178.211.107:9003/hls/24/index.m3u8
甘肃卫视,http://110.178.211.107:9003/hls/25/index.m3u8
广东卫视,http://110.178.211.107:9003/hls/26/index.m3u8
广西卫视,http://110.178.211.107:9003/hls/27/index.m3u8
海南卫视,http://110.178.211.107:9003/hls/28/index.m3u8
河北卫视,http://110.178.211.107:9003/hls/29/index.m3u8
河南卫视,http://110.178.211.107:9003/hls/30/index.m3u8
黑龙江卫视,http://110.178.211.107:9003/hls/31/index.m3u8
湖北卫视,http://110.178.211.107:9003/hls/32/index.m3u8
湖南卫视,http://110.178.211.107:9003/hls/33/index.m3u8
吉林卫视,http://110.178.211.107:9003/hls/34/index.m3u8
江苏卫视,http://110.178.211.107:9003/hls/35/index.m3u8
江西卫视,http://110.178.211.107:9003/hls/36/index.m3u8
辽宁卫视,http://110.178.211.107:9003/hls/37/index.m3u8
内蒙卫视,http://110.178.211.107:9003/hls/38/index.m3u8
来自山西电信的酒店源(110.178.211.107:9003)共有50个频道：
宁夏卫视,http://110.178.211.107:9003/hls/39/index.m3u8
青海卫视,http://110.178.211.107:9003/hls/40/index.m3u8
山东卫视,http://110.178.211.107:9003/hls/41/index.m3u8
陕西卫视,http://110.178.211.107:9003/hls/42/index.m3u8
深圳卫视,http://110.178.211.107:9003/hls/43/index.m3u8
四川卫视,http://110.178.211.107:9003/hls/44/index.m3u8
天津卫视,http://110.178.211.107:9003/hls/45/index.m3u8
西藏卫视,http://110.178.211.107:9003/hls/46/index.m3u8
新疆卫视,http://110.178.211.107:9003/hls/47/index.m3u8
云南卫视,http://110.178.211.107:9003/hls/48/index.m3u8
浙江卫视,http://110.178.211.107:9003/hls/49/index.m3u8
兵团卫视,http://110.178.211.107:9003/hls/50/index.m3u8

**************************************************************************
来自浙江电信的酒店源(220.187.223.97:85)共有40个频道：
CCTV1-综合,http://220.187.223.97:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://220.187.223.97:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://220.187.223.97:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://220.187.223.97:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://220.187.223.97:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://220.187.223.97:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://220.187.223.97:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://220.187.223.97:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://220.187.223.97:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://220.187.223.97:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://220.187.223.97:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://220.187.223.97:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://220.187.223.97:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://220.187.223.97:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://220.187.223.97:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://220.187.223.97:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://220.187.223.97:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://220.187.223.97:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://220.187.223.97:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
来自浙江电信的酒店源(220.187.223.97:85)共有40个频道：
北京卫视,http://220.187.223.97:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://220.187.223.97:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://220.187.223.97:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://220.187.223.97:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://220.187.223.97:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://220.187.223.97:85/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://220.187.223.97:85/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://220.187.223.97:85/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://220.187.223.97:85/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://220.187.223.97:85/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://220.187.223.97:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://220.187.223.97:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://220.187.223.97:85/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://220.187.223.97:85/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://220.187.223.97:85/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://220.187.223.97:85/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://220.187.223.97:85/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://220.187.223.97:85/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://220.187.223.97:85/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
来自浙江电信的酒店源(220.187.223.97:85)共有40个频道：
云南卫视,http://220.187.223.97:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://220.187.223.97:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
*********************************************************************************************************

**********************************************************************************************************
新加坡 Choopa数据中心【永久保留】
CCTV-1HD,mitv://66.42.60.221:6001/686b803f0008205e00901d290179a302.ts
CCTV-1HD,mitv://66.42.60.221:6001/684f94e8000983580d40136db1d1309c.ts
CCTV-1HD,mitv://66.42.60.221:6001/6853c7ef0007715203e6a02b4db567f8.ts
CCTV-2HD,mitv://66.42.60.221:6001/686b806f00085bae0090d8b9900a97f7.ts
CCTV-2HD,mitv://66.42.60.221:6001/684f9503000030bf0d407a82cac6f6b4.ts
CCTV-2HD,mitv://66.42.60.221:6001/6853c81300067b9603e72c8cefd5debd.ts
CCTV-3HD,mitv://66.42.60.221:6001/686b3db60003618004b290cdbf911fbd.ts
CCTV-3HD,mitv://66.42.60.221:6001/686b808e0007712a009151952454c004.ts
CCTV-3HD,mitv://66.42.60.221:6001/684f95160004147c0d40c5b97f87e3be.ts
CCTV-3HD,mitv://66.42.60.221:6001/6853c85300018b9003e82549f0400f19.ts
CCTV-4HD,mitv://66.42.60.221:6001/686b812b000e39330093b899ad62fabe.ts
CCTV-4HD,mitv://66.42.60.221:6001/68526a3a0003af7218515a3f685f1ab8.ts
CCTV-5HD,mitv://66.42.60.221:6001/686b36e2000342810497e4a5c89c9692.ts
CCTV-5HD,mitv://66.42.60.221:6001/686b81520004694600944e6e92b5e51a.ts
CCTV-5HD,mitv://66.42.60.221:6001/6853c8f500005c4d03ea9dcb6afc7d8f.ts
CCTV-5+HD,mitv://66.42.60.221:6001/686b4c37000533d204eb392c8b071c82.ts
CCTV-5+HD,mitv://66.42.60.221:6001/686bbd2f00064dcc017e26320c9b4e8f.ts
CCTV-5+HD,mitv://66.42.60.221:6001/685d6d530007cf20023c25e28fc3caf2.ts
CCTV-6HD,mitv://66.42.60.221:6001/6861f3950004fbd70475842e2ecd0ead.ts
CCTV-6HD,mitv://66.42.60.221:6001/686b4bf60000189f04ea39f67fcd4d05.ts
CCTV-6HD,mitv://66.42.60.221:6001/686b817f000460640094fe3420689a21.ts
CCTV-6HD,mitv://66.42.60.221:6001/684eec0e0006ce070aac7f2b1e243e2a.ts
CCTV-6HD,mitv://66.42.60.221:6001/6853c911000821e603eb0d29309cfd9a.ts
CCTV-7HD,mitv://66.42.60.221:6001/686b3e3a0004b73704b494c41b000f98.ts
CCTV-7HD,mitv://66.42.60.221:6001/686b44210002bdcb04cba29bcbd9a6a0.ts
CCTV-7HD,mitv://66.42.60.221:6001/686b81a300056ffd00958b19c0989ba0.ts
CCTV-8HD,mitv://66.42.60.221:6001/686b4c5b000ac81d04ebc73ac552fc00.ts
CCTV-8HD,mitv://66.42.60.221:6001/686b81d3000189560096459acd96d8f4.ts
CCTV-8HD,mitv://66.42.60.221:6001/684f952c000c458d0d411dc2b683b6b1.ts
CCTV-8K超高清,mitv://66.42.60.221:6001/686b801d000df1a8008f99d7fb4b11c8.ts
CCTV-9HD,mitv://66.42.60.221:6001/6864afee000d1ff204d886e0aa25bed7.ts
CCTV-9HD,mitv://66.42.60.221:6001/686b95aa0001dae000e3c5869e1b2f66.ts
CCTV-10HD,mitv://66.42.60.221:6001/686b95c4000327ca00e42b6c3318e661.ts
CCTV-11HD,mitv://66.42.60.221:6001/686b4cae000d8da804ed0c27fdc90e9a.ts
CCTV-11HD,mitv://66.42.60.221:6001/686bbc27000c8da0017a208c2b60729c.ts
CCTV-11HD,mitv://66.42.60.221:6001/68526a8a0008b4a3185294081f98ce28.ts
CCTV-12HD,mitv://66.42.60.221:6001/686b4c14000b377604eab1feb7930aa6.ts
CCTV-12HD,mitv://66.42.60.221:6001/686bbc550003a8b0017ad1f519c58217.ts
CCTV-12HD,mitv://66.42.60.221:6001/6853c61c0000b95f03df7e3b46f6b848.ts
CCTV-13HD,mitv://66.42.60.221:6001/686bbc7100084e48017b40855b114e4c.ts
CCTV-13HD,mitv://66.42.60.221:6001/6853c92a0007616c03eb6e9f055ee807.ts
CCTV-14HD,mitv://66.42.60.221:6001/686b3dd8000ca5f804b317fc9166693e.ts
CCTV-14HD,mitv://66.42.60.221:6001/686bbc930005a09d017bc4a67b90c871.ts
CCTV-14HD,mitv://66.42.60.221:6001/6853c6540001528003e059224bd6a445.ts
CCTV-15HD,mitv://66.42.60.221:6001/686bbcb3000af975017c430495b4b886.ts
CCTV-16HD,mitv://66.42.60.221:6001/686b36ff0000430e04985528d6ddc157.ts
CCTV-16HD,mitv://66.42.60.221:6001/686bbcd8000e8416017cd47436f97686.ts
CCTV-16HD,mitv://66.42.60.221:6001/6853c67d000af87803e0fbc38e7b57ce.ts
CCTV-17HD,mitv://66.42.60.221:6001/686b3e1b000b39ad04b41d574d5f56fd.ts
CCTV-17HD,mitv://66.42.60.221:6001/686bbd020007f940017d76d7fcc3fd2d.ts
CCTV-17HD,mitv://66.42.60.221:6001/6853c7a9000331b103e58da5c268b231.ts
重温经典,mitv://66.42.60.221:6001/6871191e000583db01d3d37d9fe57193.ts
重温经典,mitv://66.42.60.221:6001/68711e40000a896e01e7e1965f486795.ts
重温经典,mitv://66.42.60.221:6001/687126a20000f62602089df2bfe24007.ts
大湾区卫视,mitv://66.42.60.221:6001/686b4473000b7fec04cce52966647627.ts
东方卫视,mitv://66.42.60.221:6001/6864b0ac000797a004db6ba566579e4f.ts
东方卫视,mitv://66.42.60.221:6001/686dcf7c0001fad1046f4395dde3e279.ts
东南卫视,mitv://66.42.60.221:6001/6871270500074b7f020a22494b3c88f1.ts
甘肃卫视,mitv://66.42.60.221:6001/68711a470007ee2c01d85c4361784c9d.ts
广东卫视,mitv://66.42.60.221:6001/686ddcf20005302304a3d957e15e5958.ts
广西卫视,mitv://66.42.60.221:6001/687125ac000a95770204df7928a7f934.ts
贵州卫视,mitv://66.42.60.221:6001/6871250d000bd1c9020272b278641747.ts
海南卫视,mitv://66.42.60.221:6001/687119f9000c080101d72ca08b5ab8ee.ts
河北卫视,mitv://66.42.60.221:6001/687127430003d9c4020b1398c7364d37.ts
河南卫视,mitv://66.42.60.221:6001/687119d30003191d01d695e6c62bb1e4.ts
黑龙江卫视,mitv://66.42.60.221:6001/687124b7000e845d020123733882c8e7.ts
湖北卫视,mitv://66.42.60.221:6001/68712590000670a70204710905df733e.ts
湖南卫视,mitv://66.42.60.221:6001/685d5e830009074d020249b2bd93ff1f.ts
湖南卫视,mitv://66.42.60.221:6001/686b4c940003ac3804eca4100c00bbaf.ts
吉林卫视,mitv://66.42.60.221:6001/6871272b0004097d020ab5e4b9027b3e.ts
江苏卫视,mitv://66.42.60.221:6001/685d5ebf000d020002033517ca4e6d40.ts
江苏卫视,mitv://66.42.60.221:6001/686dcf51000af3be046e9de91bb8f431.ts
江西卫视,mitv://66.42.60.221:6001/68711ea40007b7b801e9677d294543f9.ts
辽宁卫视,mitv://66.42.60.221:6001/68712552000575a702037e992553d792.ts
内蒙古卫视,mitv://66.42.60.221:6001/68711b0f0001c47201db67efec857727.ts
宁夏卫视,mitv://66.42.60.221:6001/68711b2e000cf19f01dbe3e4b6d85383.ts
青海卫视,mitv://66.42.60.221:6001/68711b4e00011eda01dc5dddbd2ccd8c.ts
山东卫视,mitv://66.42.60.221:6001/68711e7c0004c32001e8ca7b1ecd60d8.ts
山西卫视,mitv://66.42.60.221:6001/68711ae7000c5e5301dace668f2f4ff9.ts
陕西卫视,mitv://66.42.60.221:6001/68711a1b0008a7c201d7b093a02cade2.ts
深圳卫视,mitv://66.42.60.221:6001/686ddd1300073a5204a45ac5d0b82a48.ts
四川卫视,mitv://66.42.60.221:6001/687124d9000f0bc20201a86576584787.ts
天津卫视,mitv://66.42.60.221:6001/686ddd370000150304a4e590e933d517.ts
西藏卫视,mitv://66.42.60.221:6001/68711a9f0007e1fe01d9b400f195c98c.ts
新疆卫视,mitv://66.42.60.221:6001/68711ac7000d730101da51adec879fb8.ts
云南卫视,mitv://66.42.60.221:6001/687119b40000d42e01d61c3a6e2de654.ts
浙江卫视,mitv://66.42.60.221:6001/685d5ea6000c37680202d33bac1d09cb.ts
浙江卫视,mitv://66.42.60.221:6001/686dcf2d000ea3b7046e123adbac871a.ts
重庆卫视,mitv://66.42.60.221:6001/687126c7000f3c9602093222f407dd33.ts
广东体育,mitv://66.42.60.221:6001/684f9541000878190d416ed0c14bdf1a.ts
广东珠江,mitv://66.42.60.221:6001/686b4452000d8c8b04cc64c7a0260c7c.ts
博斯高球,mitv://66.42.60.221:6001/685bae9a00044db000917f6aa28037d1.ts
博斯高球2,mitv://66.42.60.221:6001/685baec10003eaeb009217a93bbeb284.ts
博斯网球,mitv://66.42.60.221:6001/685c9fc500026c4f043f8ee71fffca91.ts
博斯无限,mitv://66.42.60.221:6001/685c9ffe0007851f04406edd8da76401.ts
博斯运动,mitv://66.42.60.221:6001/685ca024000b03a8044104328f201c15.ts
博斯运动2,mitv://66.42.60.221:6001/685ca0450005b0ac044183bd06c65535.ts
█████████████████████████████████████████████
🏆港台电视,#genre#
█████████████████████████████████████████████
AKTV源【永久保留】
8TV,http://s1.an94tv.cfd/astro/8tv/AKTV.m3u8
Animax (HK),http://s1.an94tv.cfd/aktv/animaxhk/AKTV.m3u8
Astro Football,http://s1.an94tv.cfd/astro/CH-0/AKTV.m3u8
Astro Sport UHD,http://s1.an94tv.cfd/astro/astrosportuhd/AKTV.m3u8
AXN,http://s1.an94tv.cfd/aktv/axn/AKTV.m3u8
Celestial Movies,http://s1.an94tv.cfd/astro/celestialmovies/AKTV.m3u8
Channel 5 HD,http://s1.an94tv.cfd/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,http://s1.an94tv.cfd/aktv/channel8hd/AKTV.m3u8
Channel U HD,http://s1.an94tv.cfd/aktv/channeluhd/AKTV.m3u8
CinemaWorld,http://s1.an94tv.cfd/taiwan/cinemaworld/AKTV.m3u8
CNA,http://s1.an94tv.cfd/aktv3/cna/AKTV.m3u8
EuroSport 1,http://s1.an94tv.cfd/astro/eurosport1/AKTV.m3u8
EuroSport 2,http://s1.an94tv.cfd/astro/eurosport2/AKTV.m3u8
HITS,http://s1.an94tv.cfd/taiwan/hits/AKTV.m3u8
Japan News 24H LIVE,http://s1.an94tv.cfd/aktvjp/japannews24hlive/AKTV.m3u8
KLT-靖天國際台,http://s1.an94tv.cfd/taiwan/CH-3/AKTV.m3u8
Love Nature HD,http://s1.an94tv.cfd/aktv/lovenaturehd/AKTV.m3u8
MagellanTV頻道,http://s1.an94tv.cfd/taiwan/magellantv/AKTV.m3u8
PopC,http://s1.an94tv.cfd/aktv/popc/AKTV.m3u8
ROCK Action,http://s1.an94tv.cfd/aktv/rockaction/AKTV.m3u8
RTHK32,http://s1.an94tv.cfd/aktv3/rthk32/AKTV.m3u8
Sky Sports F1,http://s1.an94tv.cfd/aktv2/skysportsf1/AKTV.m3u8
TNT SPORTS 1,http://s1.an94tv.cfd/astro/tntsports1/AKTV.m3u8
TNT SPORTS 2,http://s1.an94tv.cfd/astro/tntsports2/AKTV.m3u8
TNT SPORTS 3,http://s1.an94tv.cfd/astro/tntsports3/AKTV.m3u8
TVB Plus,http://s1.an94tv.cfd/aktv/tvbplus/AKTV.m3u8
TVB 星河,http://s1.an94tv.cfd/taiwan2/tvb/AKTV.m3u8
TVBS,http://s1.an94tv.cfd/taiwan/tvbs/AKTV.m3u8
TVBS新聞,http://s1.an94tv.cfd/taiwan/tvbs-1/AKTV.m3u8
tvN,http://s1.an94tv.cfd/aktv/tvn/AKTV.m3u8
Viu6,http://s1.an94tv.cfd/aktv2/viu6/AKTV.m3u8
VIUTV1,http://s1.an94tv.cfd/aktv2/viutv1/AKTV.m3u8
朝鲜恩情台,http://s1.an94tv.cfd/aktv3/CH-0/AKTV.m3u8
東森新聞,http://s1.an94tv.cfd/zhongtian/CH-1/AKTV.m3u8
東森洋片,http://s1.an94tv.cfd/aktv2/CH-2/AKTV.m3u8
翡翠剧集台(北美),http://s1.an94tv.cfd/aktv/CH-18/AKTV.m3u8
翡翠台,http://s1.an94tv.cfd/aktv/CH-0/AKTV.m3u8
翡翠一台(北美),http://s1.an94tv.cfd/aktv/CH-8/AKTV.m3u8
翡翠娛樂台(北美),http://s1.an94tv.cfd/aktv/CH-7/AKTV.m3u8
翡翠综合台(北美),http://s1.an94tv.cfd/aktv/CH-17/AKTV.m3u8
鳳凰衛視香港台,http://s1.an94tv.cfd/aktv/CH-5/AKTV.m3u8
鳳凰衛視中文台,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8
鳳凰衛視資訊台,http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
好萊塢電影台,http://s1.an94tv.cfd/aktv2/CH-1/AKTV.m3u8
華視,http://s1.an94tv.cfd/aktv2/CH-3/AKTV.m3u8
黃金翡翠台,http://s1.an94tv.cfd/aktv/CH-6/AKTV.m3u8
龍華日韓台,http://s1.an94tv.cfd/taiwan/CH-5/AKTV.m3u8
美亞電影台(HK),http://s1.an94tv.cfd/aktv/hk/AKTV.m3u8
民視,http://s1.an94tv.cfd/taiwan/CH-1/AKTV.m3u8
民視第一台,http://s1.an94tv.cfd/taiwan/CH-0/AKTV.m3u8
明珠剧集台(北美),http://s1.an94tv.cfd/aktv/CH-19/AKTV.m3u8
明珠台,http://s1.an94tv.cfd/aktv/CH-2/AKTV.m3u8
日テレNEWS LIVE,http://s1.an94tv.cfd/aktvjp/ntv/AKTV.m3u8
天映經典(1080),http://s1.an94tv.cfd/aktv/1080/AKTV.m3u8
