🚦免费直播接口🚦,#genre#
咪咕体育4,http://39.135.134.67/000000001000/3000000001000031494/index.m3u8$哈尔滨
咪咕体育5,http://39.135.134.67/000000001000/3000000001000008176/index.m3u8$哈尔滨
咪咕体育6,http://39.135.134.34/000000001000/3000000001000010129/index.m3u8$哈尔滨
咪咕体育7,http://39.135.134.67/000000001000/3000000001000010948/index.m3u8$哈尔滨
咪咕体育8,http://39.135.134.67/000000001000/3000000001000007218/index.m3u8$哈尔滨
咪咕体育9,http://39.135.134.67/000000001000/3000000001000005308/index.m3u8$哈尔滨
咪咕体育10,http://39.135.134.67/000000001000/3000000001000005969/index.m3u8$哈尔滨
咪咕体育11,http://39.135.137.203/000000001000/3000000010000027691/index.m3u8$哈尔滨
咪咕体育12,http://39.135.137.203/000000001000/3000000010000015560/index.m3u8$哈尔滨
咪咕体育13,http://39.135.137.205/000000001000/3000000010000002809/index.m3u8$哈尔滨
咪咕体育14,http://39.135.137.206/000000001000/3000000010000000097/index.m3u8$哈尔滨
咪咕体育15,http://39.135.137.205/000000001000/3000000010000006077/index.m3u8$哈尔滨
咪咕体育16,http://39.135.137.203/000000001000/3000000010000012558/index.m3u8$哈尔滨
咪咕体育17,http://39.135.137.208/000000001000/3000000010000023434/index.m3u8$哈尔滨
咪咕体育18,http://39.135.137.203/000000001000/3000000010000003915/index.m3u8$哈尔滨
咪咕体育19,http://39.135.137.205/000000001000/3000000010000021904/index.m3u8$哈尔滨
咪咕体育20,http://39.135.137.205/000000001000/3000000010000004193/index.m3u8$哈尔滨
咪咕体育21,http://39.135.137.207/000000001000/3000000010000011297/index.m3u8$哈尔滨
咪咕体育22,http://39.135.137.208/000000001000/3000000010000006658/index.m3u8$哈尔滨
咪咕体育23,http://39.135.137.205/000000001000/3000000010000010833/index.m3u8$哈尔滨
咪咕体育24,http://39.135.137.203/000000001000/3000000010000025380/index.m3u8$哈尔滨
咪咕体育25,http://39.135.137.209/000000001000/3000000010000015686/index.m3u8$哈尔滨
咪咕体育4k,http://39.135.137.208/000000001000/3000000010000005180/index.m3u8$哈尔滨










⭕4K超高清频道⭕,#genre#
CCTV1-4K,http://223.105.252.60/PLTV/4/224/3221228581/index.m3u8?servicetype=1
CCTV3-4K,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8
CCTV5-4K,http://223.105.252.61/PLTV/4/224/3221228502/index.m3u8?servicetype=1

CCTV16-4K,http://223.105.252.59/PLTV/4/224/3221228314/index.m3u8?servicetype=1
CCTV4K-4K,http://223.105.252.60/PLTV/4/224/3221228228/index.m3u8?servicetype=1
CCTV4K-4K,http://223.105.252.60/PLTV/4/224/3221228472/index.m3u8?servicetype=1
CCTV8-4K,http://223.105.252.57/PLTV/3/224/3221228165/index.m3u8?servicetype=1
CCTV4K,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV8K,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
翡翠台4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8
翡翠台4K,http://cdn.163189.xyz/live/fct4k/stream.m3u8
纯享4K,http://122.241.207.200:5000/TVOD/1000000004000011651/ystenlive/index.m3u8$20M2160_易视腾
CCTV16 奥林匹克4K,http://122.241.207.200:5000/TVOD/5000000008000023254/bestzb/index.m3u8$12M2160HEVC_百视通
SITV欢笑剧场4K,http://122.241.207.200:5000/TVOD/5000000007000010001/bestzb/index.m3u8$12M2160HEVC_百视通
华数4K,http://122.241.207.200:5000/TVOD/6000000003000004748/wasusyt/index.m3u8$16M2160_华数#http://122.241.207.200:5000/TVOD/2000000004000000014/hnbblive/index.m3u8$15M2160_湖南bblive
纯享超清-4K,http://[2409:8087:2001:20:2800:0:df6e:eb10]:80/ott.mobaibox.com/PLTV/4/224/3221228242/index.m3u8
测试-8K,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tW1782571424_-1576923679/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
修复-4K,http://[2409:8087:2001:20:2800:0:df6e:eb15]/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
Loupe-4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
LOVE动物自然-4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
4K修复 7M2160HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb14]/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
CCTV4K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
纯享超清,http://[2409:8087:2001:20:2800:0:df6e:eb10]:80/ott.mobaibox.com/PLTV/4/224/3221228242/index.m3u8
8K测试,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tW1782571424_-1576923679/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
4K 修复,http://[2409:8087:2001:20:2800:0:df6e:eb15]/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
LOVE NRTURE 4K「自然」,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
纯享4K,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000004000011651/1.m3u8

自然4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
CCTV8K超高清,http://mtw.so/62HqYI#https://tv.cry33.com/ys4k.php?id=8k#https://tv.cry33.com/ys4k.php?id=8k25
CCTV16-4K 18M2160,http://ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8
CCTV16-4K 25M2160,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
CCTV16-4K 34M2160HDR,http://ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
8K,http://125.74.6.36/downflv.brtvcloud.com/8klive/8kliveok.m3u8
北京纪实科教8K,http://125.74.6.30/downflv.brtvcloud.com/8klive/8kliveok.m3u8
北京纪实科教8K,http://125.74.6.45/downflv.brtvcloud.com/8klive/8kliveok.m3u8
北京纪实科教8K,http://125.74.6.62/downflv.brtvcloud.com/8klive/8kliveok.m3u8
北京纪实8K,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
北京纪实8K,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8#http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
江苏移动8K测试,http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8

北京纪实8K,https://epg.pw/stream/f48875235ce63399ced8a8f27167ceea2fda31675f2b15a967a49f1ec6bba9f7.m3u8
北京纪实8K,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8
北京纪实8K,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
4K放大镜全网,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
4K南国都市台,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
4K「时尚」台,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8







⚡咪咕央视频道⚡,#genre#
CCTV-1 综合,https://www.freetv.top/migu/608807420.m3u8?migutoken=8e44d79c7f37f4bfdb620ebc0ae8b569495cc407e8839f50e4e74d145019c5ab52794e19cef9cfbc7a9956b59d53c7c56efa70ad9eae3fb67e8beed7227d10378223ec16c20491334699ad92a3
CCTV-2 财经,https://www.freetv.top/migu/631780532.m3u8?migutoken=4b494505b30c4d23f5b6c6fca91cae19fdb57fb479a23821e912b42ebbf34bd5a8ff8023d604bf52c96043ead371e83ab66a02a59ce8ad9620406bca3949b8927f66ab919768b59667fb6dcd0a
CCTV-3 综艺,https://www.freetv.top/migu/624878271.m3u8?migutoken=26015af2091bdd07f1f90b4a3661308c0925541c8c6b149f1f6a50ae4b4605d430a2cc9c8eef2e579989963f19439ded8291bd5f3bdbb88fd7fe18545e0141b5d11d159221838eec5cdcff432c
CCTV-4 中文国际,https://www.freetv.top/migu/631780421.m3u8?migutoken=ec185c602389d96e72b19a6b24dd13d7336c3b987ab21ef69a31a3f312ef52a43b1a657a2a4e0cfc17177ecdc36328ef4ea0069b0c575bdd396589da3a39815280d17061dcebdd6a8f90b1bfa4
CCTV-5 体育,https://www.freetv.top/migu/641886683.m3u8?migutoken=7329269c27c498f3c12cab8944ea425eac0b7fd19b0ad1598a05c079ead9506db7607814e6506dcb64ac330dad5423c63033e13c36de82f1682cd100a4ab0bd2a7d27846a0f90541c917cc47a2
CCTV-5+ 体育赛事,https://www.freetv.top/migu/641886773.m3u8?migutoken=3262a5e15da8b0a56939446673c573f6e5bcb8609dae8dc2a38648272abdde1f28650beaeb421a7c23fcc7efcd665472491a3fc7a88625f763669cf0431939254e0a1b977fdc3e13013cfac95e
CCTV-6 电影,https://www.freetv.top/migu/624878396.m3u8?migutoken=62820a32072e9132ff5d5135f6f0bdddcbb16750e8a4f699508ba8cce82c84b80284534e47cabf46ef53230b08f9e057a8244c73cbc00089491d424c57ae941230810fa917a57fb23ddc7b27a1
CCTV-7 国防军事,https://www.freetv.top/migu/673168121.m3u8?migutoken=78b3145b99d18a90bacf9f87ff97e028bde89cf7f00c68428d35107d92ff736ada582586056a6f59a55a73daf578ad847fa9d1790094a018d033fd49bbe87db43dd33dd3fb746240ea15541cde
CCTV-8 电视剧,https://www.freetv.top/migu/624878356.m3u8?migutoken=88f74218963bffbf9b4e99610f465f7375a5a31292db13100fb919c77c5d55d37e5aec15511293e72e3fc7ec03631c47104e030cf34848cf946d7077bf9c6a1c62ab0132908c5d2f2953c73b5e
CCTV-9 纪录,https://www.freetv.top/migu/673168140.m3u8?migutoken=215e378925172bc4367754fa64bec2802167c2f2559b3043745983e2d4ee00bcc746edcc0674127fdd6ef678b8d0508f79c632aaa8df00b7aa26eefa17918a7cbd48a433ef945809fdde45acc8
CCTV-10 科教,https://www.freetv.top/migu/624878405.m3u8?migutoken=201177fc62118575f917553e4369d4b43cd97de324361142857e02630c0e6a00da0948bc9378e6517550ba91b385aa35fd51979476a21ca3794e15b56c47bf3a540827a285de52d49ac4fc0fb5
CCTV-11 戏曲,https://www.freetv.top/migu/667987558.m3u8?migutoken=43ce2873231a4acba21ed4f786d491d6d37b0c14dabab062f9ecb334b7c697fd7f4b848f60f054cd6141e974becb6468abe3ba8da2a4bd6973b4b8d50e6770391094aff5486ec741c3191f30e6
CCTV-12 社会与法,https://www.freetv.top/migu/673168185.m3u8?migutoken=d6d05dea293772ac18ca698964ff682496f9d6b25960177826d697cd3d2c1063f8ad8f2b2fd16354dd62d10041110aae27a7350415d345f6be8e8e2aa0525f0fc80e8f810ceaacea1e0361a963
CCTV-13 新闻,https://www.freetv.top/migu/608807423.m3u8?migutoken=3e33e0db4fa1f3e8aafa9ad93066408c73d917087d798965b32181105699d57bedf624483d55e2e49152e23f83cd6ac79bea3ebca48d4c9f20dd3988395b5a3dee3ade72c9413723c0ea291459
CCTV-14 少儿,https://www.freetv.top/migu/624878440.m3u8?migutoken=8f0e0703e619d22c8b7545e6e8cc974b73556b322609c97747bf2ccf3f256b40237d5ac119287a0c1710eee17d68eb65bb7374c1ff1ac8ddae3ffed9bdc5d06fa8ce224003afcb0f5aea4cd702
CCTV-15 音乐,https://www.freetv.top/migu/673168223.m3u8?migutoken=9e0598702f072dd0de4107fd41c54a29f7419bc4b0fd2666c330912793630c0be2834234e2217542d0db4d6a545f57deecca0a70f78e048da00e137f4aeace1ab873f01d31b72aba073f793336
CCTV-16 奥林匹克,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227002/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EX9goLRw26BM_r54des2PAw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-17 农业农村,https://www.freetv.top/migu/673168256.m3u8?migutoken=d9c69667a16865f1ae75d4733059f623a29001e622776841f0e14557073bebcb68c2be22f13aec4a88018d1481a6f4ac755010ff80adcdfca58426ac3fca94e77b99871235fcb53cb8223abbcf
CHC动作电影,https://www.freetv.top/migu/644368714.m3u8?migutoken=a266e36deb3b094855df464e665ebaff706c90bb783bc8e5ca85e74264a2198f4200f479e8cf6cc7548eede3563a92ce39dcee658b2cab4073bed659f97ed6a62657890d5ed2ce10775ce8788a
CHC家庭影院,https://www.freetv.top/migu/644368373.m3u8?migutoken=5cc9d58e00199c2ed99fa946a9e01cb7085c5337b6cf8364bf1425fe48f9a8efbf4348facd123a549bd7342d4bed54ed1997f31749d7e54da88a4602d435718cf8191680df7fd498db0084f3c7
风云足球,https://www.freetv.top/migu/788816794.m3u8?migutoken=085b30bfc56637398dcac2fd9cffdafc19202ebfb84af9fdee1c906c49e1fc50dfc1112c0388c7a7e466d74472582547a4ba9e0193f812aa1f7a6035171cc74da5a1d8b153acdb83c2e2edc307
⚡咪咕卫视频道⚡,#genre#
北京卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226900/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcYPi33WFyhvd6SjmqUKhJg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
东方卫视,https://www.freetv.top/migu/651632648.m3u8?migutoken=e890eb6368b1728abf995693bbdb1a7da330c9da482e436f429e301da5f35c530368cfb67a36b0f7c6e17fb86eee4e8e4bc2582c68ee7a595b8917cf72afe60418cd66e60b9c9ad5e22c0ae7fd
四川卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226995/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EBQiz3wrGrpG0CUSRIJ-7Jg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
天津卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226954/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eaf3wyULP1h575eM_4ByMDg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
安徽卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226943/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0QmKQ_slRCwvVVUUfxPVbw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
山东卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226957/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EjW26v5VaHGy1jQuIA-4EbA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
广东卫视,https://www.freetv.top/migu/608831231.m3u8?migutoken=8fd17d6a051ef3b910130e4e842fa02a4eee325a082c950083c757a4c4f99dda21b95f9715a58a596c82956f1d5ca9a36ff202454191c3f452de88a51affebb0ed3072df4355c235b786bb0b35
广西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227010/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EkAhb-89sxdm9fz6-heXCuw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
江苏卫视,https://www.freetv.top/migu/623899368.m3u8?migutoken=00800040303a0139e84d7d3862c8e949b6b1cd494299540863217cd5535b237b658b9e4bceb26ad7e3d6725d5a02d9f02d7aa30ae4d3b418778d40d71ef2a80561b502db7f8cbddcba22583110
江西卫视,https://www.freetv.top/migu/783847495.m3u8?migutoken=9f8a2865daa8e4d5bebca190cccde3245f130b52676d39dc7bc970d7c99906562d853b5c770b6d63e2c37fafaa28e1f41395e7e8a97e2994c667b988b4fe81a89369faf4d0f2e281400598a296
河北卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227014/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ErSGjhI3DMaaAASPRbQJYTg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
河南卫视,https://www.freetv.top/migu/790187291.m3u8?migutoken=68c4dde27f89b6e242ef620dbd4bc9ec93c47c41f077333ac73a7f776dea621dac0910cc001b7b5b0812da2b8b0ef2c5d053ea22b28c9be97d56bc7d4f3a23faf4028cfe73fe47287ed2701321
浙江卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226899/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ETYfTgTra_pUx2cPrgZ_BDw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
海南卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227029/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EEuBMjt2kLMD8fAO7QYER7Q%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
深圳卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226959/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EGrVNEZREjuNVKiTJo2mtwg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
湖北卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226952/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EREB40lnZnCEwjRy7LZuhIQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
山西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227016/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ESb5Qr3NTpE2ZugIroKoyTw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
东南卫视,https://www.freetv.top/migu/849116810.m3u8?migutoken=0a824e134565d8aed4bb6d00ee2f3711c3e3b7607b253f1f82b7db5240d5d238c9fc89eafbcb5032464443d1a9153426aabaa210375a83e016fb792b5eaf8cfbcf2077b16b9223d6430e67ccd3
贵州卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227012/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EnqBF03rFwPucF8ODtWxLQQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
辽宁卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226966/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E6qJH8Fd-zgCGx3P-Ce86cA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
重庆卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226963/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EjTXsJprEx2nE38tdvu5lhA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
黑龙江卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226965/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E7UiKL56-L86ihmTWaZ6csw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
内蒙古卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227018/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ErN_hoRDwApMKnJqiNHvn9w%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
宁夏卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227020/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Err-CLugPnTcUinEM8JeySg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
陕西卫视,https://www.freetv.top/migu/738910838.m3u8?migutoken=cb4f56e1638822df008140c9500be7b9866235fe972b1d639eb6ce62477d386ef0787909e0291cca7cd2cf615d9c46ac10d18fa90b15c8db4af317d6a08228559bd194bb2bd70c549f0e9d6467
甘肃卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227003/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ESco1zinvdUYzleEkXYhIvA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
吉林卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227015/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EW5-3AVdwD5KlUPUA4mz7Cg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
