央视ʰV6,#genre#
青海卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
新疆卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
兵团卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
延边卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
安多卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
康巴卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
浙江ʰV4,#genre#
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
网友需求,#genre#
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
上海都市,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000012/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000012&IASHttpSessionId=OTT19019320240419154124000281
东方影视,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000013/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000013&IASHttpSessionId=OTT19019320240419154124000281
五星体育,http://[2409:8087:5e08:24::15]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19594820240419041339000523
五星体育,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19019320240419154124000281
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8
随州综合,http://34766.hlsplay.aodianyun.com/guangdianyun_34766/tv_channel_304.m3u8?auth_key=4836074354-0-0-d3ae3e237ae5fdaa7e72d8b930ff507b&extra_key=q_KhUzRNviTQMw35AK7VUOsxUuO3fkLbRbWjHBywJErK0zgP7mqTsFvo50t7UieqiF-pvnPCIMJa5QdRQ1gLPBYWz9HOG7TAdI5vRG232V88z98QUcOS1P6iUQbACyEaoEVKLRe_Am23Ezeahvwg0pDBetjQHrLPx7P8mro2vqw15rvUQKLSF-HBByajerez
随州农村,http://34766.hlsplay.aodianyun.com/guangdianyun_34766/tv_channel_305.m3u8?auth_key=4834621829-0-0-49c63c7de26b595a9177e498db618f79&extra_key=xQtKveJFBYYdE5xPP5Qc5y3qlfhlj-BcHOcbWxez9NxCHHoFi0Lp44BN8aqi2_k9URCU-rsf8mQz8CYifgEaMzixzi63CT1KgCDexQ0cD5X0e0lUMZaQy0DMOXcFpW1Cf9zn7psgSNcUQiA2OGcxi7TXk-_FyDGcu767szWh8SQJ0Vr0uNRbiqE2jzk7ICiX
轮播频道,#genre#
经典粤语歌曲1,https://vdse.bdstatic.com//2922763f303705ef65c46689578439ea.mp4
经典粤语歌曲2,https://vdse.bdstatic.com//f9cda7e70273c267b61a3d0c969d2033.mp4
抖音直播,#genre#
郭有才,http://www.52sw.top:678/play/douyin.php?id=51192723700
东方甄选,http://www.52sw.top:678/play/douyin.php?id=dongfangzhenxuan
与辉同行,http://www.52sw.top:678/play/douyin.php?id=56697889278
学而思优品,http://www.52sw.top:678/play/douyin.php?id=80713922264
大超说媒,http://www.52sw.top:678/play/douyin.php?id=dachaoshuomei03
聪明旺豆豆,http://www.52sw.top:678/play/douyin.php?id=doudou5656
武当陈师宇,http://www.52sw.top:678/play/douyin.php?id=98125405138
武当袁师懋,http://www.52sw.top:678/play/douyin.php?id=80499466481
武当小师妹,http://www.52sw.top:678/play/douyin.php?id=znxc18372676638
资勤在杭州,http://www.52sw.top:678/play/douyin.php?id=106573386
边牧小北,http://www.52sw.top:678/play/douyin.php?id=196664171da
开封干娘,http://www.52sw.top:678/play/douyin.php?id=48953924280
象棋许银川,http://www.52sw.top:678/play/douyin.php?id=xyc1975
象棋大师党斐,http://www.52sw.top:678/play/douyin.php?id=xqdf1987
澎湃直播,http://www.52sw.top:678/play/douyin.php?id=pengpaizhibo
澎湃新闻,http://www.52sw.top:678/play/douyin.php?id=ppxw_thepaper
央视新闻,http://www.52sw.top:678/play/douyin.php?id=cctvnews
小米官方旗舰店,http://www.52sw.top:678/play/douyin.php?id=xiaomizhibojian
新白娘子传奇演唱会,http://www.52sw.top:678/play/douyin.php?id=xinbai1992
电影频道央影传媒,http://www.52sw.top:678/play/douyin.php?id=liugongzhu123
交个朋友直播间,http://www.52sw.top:678/play/douyin.php?id=JGPYZBJ
第一现场,http://www.52sw.top:678/play/douyin.php?id=881575999
婷婷在日本,http://www.52sw.top:678/play/douyin.php?id=57396618997
台湾频道,#genre#
民視,http://xg.52sw.top:5000/litv/4gtv-4gtv155
民視第一台,http://xg.52sw.top:5000/litv/4gtv-4gtv003
民視新聞台,http://xg.52sw.top:5000/litv/litv-ftv13
民視台灣台,http://xg.52sw.top:5000/litv/4gtv-4gtv001
民視影劇台,http://xg.52sw.top:5000/litv/litv-ftv09
民視旅遊台, http://xg.52sw.top:5000/litv/litv-ftv07
民視綜藝台, http://xg.52sw.top:5000/litv/4gtv-4gtv004
中視,http://xg.52sw.top:5000/litv/4gtv-4gtv040
中視新聞台, http://xg.52sw.top:5000/litv/4gtv-4gtv074
中視經典台, http://xg.52sw.top:5000/litv/4gtv-4gtv080
中視菁采台,http://xg.52sw.top:5000/litv/4gtv-4gtv064
中天新聞台,http://xg.52sw.top:5000/litv/4gtv-4gtv009
中天亞洲台,http://xg.52sw.top:5000/litv/4gtv-4gtv109
華視,http://xg.52sw.top:5000/litv/4gtv-4gtv041
華視新聞,http://xg.52sw.top:5000/litv/4gtv-4gtv052
靖天綜合台,http://xg.52sw.top:5000/litv/4gtv-4gtv046
靖天國際台,http://xg.52sw.top:5000/litv/4gtv-4gtv063
靖天戲劇台,http://xg.52sw.top:5000/litv/4gtv-4gtv058
靖天日本台,http://xg.52sw.top:5000/litv/4gtv-4gtv047
靖天映畫台,http://xg.52sw.top:5000/litv/4gtv-4gtv055
靖天卡通台,http://xg.52sw.top:5000/litv/4gtv-4gtv044
靖天育樂台,http://xg.52sw.top:5000/litv/4gtv-4gtv062
靖天資訊台,http://xg.52sw.top:5000/litv/4gtv-4gtv065
靖天電影台,http://xg.52sw.top:5000/litv/4gtv-4gtv061
靖天歡樂台,http://xg.52sw.top:5000/litv/4gtv-4gtv054
龍華偶像台, http://xg.52sw.top:5000/litv/litv-longturn12
龍華卡通台, http://xg.52sw.top:5000/litv/litv-longturn01
龍華戲劇台, http://xg.52sw.top:5000/litv/litv-longturn18
龍華日韓台, http://xg.52sw.top:5000/litv/litv-longturn11
龍華經典台, http://xg.52sw.top:5000/litv/litv-longturn21
龍華電影台, http://xg.52sw.top:5000/litv/litv-longturn03
靖洋戲劇台, http://xg.52sw.top:5000/litv/4gtv-4gtv045
靖洋卡通 Nice Bingo, http://xg.52sw.top:5000/litv/4gtv-4gtv057
寰宇新聞台, http://xg.52sw.top:5000/litv/litv-longturn14
寰宇新聞台灣台, http://xg.52sw.top:5000/litv/litv-longturn15
寰宇財經台, http://xg.52sw.top:5000/litv/litv-longturn23
TVBS, http://xg.52sw.top:5000/litv/4gtv-4gtv073
TVBS 新聞台, http://xg.52sw.top:5000/litv/4gtv-4gtv072
TVBS 綜藝台, http://xg.52sw.top:5000/4gtv/284
TVBS 歡樂台, http://xg.52sw.top:5000/litv/4gtv-4gtv068
TVBS 精采台, http://xg.52sw.top:5000/litv/4gtv-4gtv067
TVBS 台劇台, http://xg.52sw.top:5000/4gtv/285
八大精彩台, http://xg.52sw.top:5000/litv/4gtv-4gtv034
八大綜藝台, http://xg.52sw.top:5000/litv/4gtv-4gtv039
三立新聞, http://xg.52sw.top:5000/4gtv/229
三立綜合台, http://xg.52sw.top:5000/4gtv/169
台視, http://xg.52sw.top:5000/litv/4gtv-4gtv066
台視新聞台, http://xg.52sw.top:5000/litv/4gtv-4gtv051
台視財經台, http://xg.52sw.top:5000/litv/4gtv-4gtv056
博斯運動一台, http://xg.52sw.top:5000/litv/litv-longturn07
博斯運動二台, http://xg.52sw.top:5000/litv/litv-longturn08
博斯無限台, http://xg.52sw.top:5000/litv/litv-longturn10
博斯無限二台, http://xg.52sw.top:5000/litv/litv-longturn13
博斯網球台, http://xg.52sw.top:5000/litv/litv-longturn09
博斯高球台, http://xg.52sw.top:5000/litv/litv-longturn05
博斯高球二台, http://xg.52sw.top:5000/litv/litv-longturn06
博斯魅力台, http://xg.52sw.top:5000/litv/litv-longturn04
ELTA 娛樂台, http://xg.52sw.top:5000/litv/4gtv-4gtv070
ELTA 生活旅遊, http://xg.52sw.top:5000/4gtv/237
ELTA生活英語, http://xg.52sw.top:5000/litv/litv-longturn20
東森新聞, http://xg.52sw.top:5000/litv/4gtv-4gtv152
東森財經新聞, http://xg.52sw.top:5000/litv/4gtv-4gtv153
非凡新聞台, http://xg.52sw.top:5000/litv/4gtv-4gtv010
非凡商業台, http://xg.52sw.top:5000/litv/4gtv-4gtv048
鏡電視新聞台, http://xg.52sw.top:5000/litv/4gtv-4gtv075
CNBC Asia 財經台, http://xg.52sw.top:5000/4gtv/235
亞洲旅遊台, http://xg.52sw.top:5000/litv/litv-longturn17
GINX Esports TV, http://xg.52sw.top:5000/litv/4gtv-4gtv053
TechStorm, http://xg.52sw.top:5000/4gtv/181
時尚運動X, http://xg.52sw.top:5000/4gtv/277
智林體育台, http://xg.52sw.top:5000/litv/4gtv-4gtv101
TraceSports, http://xg.52sw.top:5000/litv/4gtv-4gtv077
影迷數位紀實台, http://xg.52sw.top:5000/4gtv/212
影迷數位電影台, http://xg.52sw.top:5000/litv/4gtv-4gtv011
AMC 最愛電影, http://xg.52sw.top:5000/litv/4gtv-4gtv017
CatchPlay 電影台, http://xg.52sw.top:5000/litv/4gtv-4gtv076
My Cinema Europe HD 我的歐洲電影, http://xg.52sw.top:5000/4gtv/176
公視戲劇台, http://xg.52sw.top:5000/litv/4gtv-4gtv042
采昌影劇台, http://xg.52sw.top:5000/litv/4gtv-4gtv049
台灣戲劇台, http://xg.52sw.top:5000/litv/litv-longturn22
戲劇免費看 1台, http://xg.52sw.top:5000/4gtv/270
戲劇免費看 2台, http://xg.52sw.top:5000/4gtv/244
經典電影台, http://xg.52sw.top:5000/4gtv/201
電影免費看 2台, http://xg.52sw.top:5000/4gtv/245
電影原聲台 CMusic, http://xg.52sw.top:5000/4gtv/218
花系列 經典劇場, http://xg.52sw.top:5000/4gtv/279
CinemaWorld, http://xg.52sw.top:5000/4gtv/225
HITS 頻道, http://xg.52sw.top:5000/4gtv/186
Rock Action, http://xg.52sw.top:5000/4gtv/180
Rock Entertainment, http://xg.52sw.top:5000/4gtv/275
金光布袋戲, http://xg.52sw.top:5000/4gtv/236
霹靂布袋戲, http://xg.52sw.top:5000/4gtv/301
DreamWorks 夢工廠動畫, http://xg.52sw.top:5000/4gtv/282
Nickelodeon, http://xg.52sw.top:5000/4gtv/185
Nick Jr. 兒童頻道, http://xg.52sw.top:5000/4gtv/219
i-Fun 動漫台, http://xg.52sw.top:5000/litv/litv-ftv15
兒童卡通台, http://xg.52sw.top:5000/4gtv/269
精選動漫台, http://xg.52sw.top:5000/4gtv/204
經典卡通台, http://xg.52sw.top:5000/4gtv/202
達文西頻道, http://xg.52sw.top:5000/litv/4gtv-4gtv018
超人力霸王整套看, http://xg.52sw.top:5000/4gtv/278
MOMO 親子台, http://xg.52sw.top:5000/4gtv/231
LiveABC 互動英語台, http://xg.52sw.top:5000/4gtv/188
Classica 古典樂, http://xg.52sw.top:5000/litv/4gtv-4gtv059
Lifetime 娛樂頻道, http://xg.52sw.top:5000/4gtv/217
MTV Live HD 音樂頻道, http://xg.52sw.top:5000/4gtv/213
Mezzo Live, http://xg.52sw.top:5000/litv/4gtv-4gtv083
豬哥亮歌廳秀, http://xg.52sw.top:5000/litv/4gtv-4gtv006
Trace Urban, http://xg.52sw.top:5000/litv/4gtv-4gtv082
Global Trekker, http://xg.52sw.top:5000/4gtv/252
Globetrotter 環遊旅行家, http://xg.52sw.top:5000/litv/4gtv-4gtv016
LUXE TV, http://xg.52sw.top:5000/4gtv/175
Pet Club TV, http://xg.52sw.top:5000/4gtv/182
TV5MONDE Style, http://xg.52sw.top:5000/4gtv/178
車迷 TV, http://xg.52sw.top:5000/4gtv/160
Love Nature, http://xg.52sw.top:5000/4gtv/139
Fun 探索娛樂台, http://xg.52sw.top:5000/4gtv/274
幸福空間居家台, http://xg.52sw.top:5000/4gtv/168
Arirang TV, http://xg.52sw.top:5000/litv/4gtv-4gtv079
Bloomberg TV, http://xg.52sw.top:5000/4gtv/283
SBN 全球財經台, http://xg.52sw.top:5000/4gtv/224
半島國際新聞台, http://xg.52sw.top:5000/litv/litv-ftv10
第1商業台, http://xg.52sw.top:5000/litv/4gtv-4gtv104
History 歷史頻道, http://xg.52sw.top:5000/4gtv/214
CI 罪案偵查頻道, http://xg.52sw.top:5000/4gtv/215
Smart 知識台, http://xg.52sw.top:5000/litv/litv-longturn19
視納華仁紀實頻道, http://xg.52sw.top:5000/litv/4gtv-4gtv013
原住民族電視台, http://xg.52sw.top:5000/4gtv/273
客家電視台, http://xg.52sw.top:5000/litv/4gtv-4gtv043
滾動力 Rollor, http://xg.52sw.top:5000/4gtv/249
好消息, http://xg.52sw.top:5000/litv/litv-ftv16
好消息2台, http://xg.52sw.top:5000/litv/litv-ftv17
大愛電視, http://xg.52sw.top:5000/4gtv/209
大愛電視2, http://xg.52sw.top:5000/4gtv/230
人間衛視, http://xg.52sw.top:5000/4gtv/210
國會頻道1, http://xg.52sw.top:5000/litv/4gtv-4gtv084
國會頻道2, http://xg.52sw.top:5000/litv/4gtv-4gtv085
東森購物一台, http://xg.52sw.top:5000/4gtv/173
東森購物二台, http://xg.52sw.top:5000/4gtv/174
東森購物三台, http://xg.52sw.top:5000/4gtv/287
東森購物四台, http://xg.52sw.top:5000/4gtv/286
VOA TV, http://xg.52sw.top:5000/litv/litv-ftv03
DW, http://xg.52sw.top:5000/4gtv/226
