央视频道,#genre#
康巴卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000066/index.m3u8
大湾区卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/index.m3u8
CETV-1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000046/index.m3u8
CETV-2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000071/index.m3u8
CETV-4,http://[2409:8087:74d9:21::6]:80/270000001128/9900000072/index.m3u8

数字频道,#genre#
山东教育,http://[2409:8087:74d9:21::6]:80/270000001128/9900000067/index.m3u8
纪实人文,http://[2409:8087:74d9:21::6]:80/270000001128/9900000528/index.m3u8
纪实科教,http://[2409:8087:74d9:21::6]:80/270000001128/9900000515/index.m3u8
劲爆体育,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000008&IASHttpSessionId=OTT19019320240419154124000281
乐游频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031112/1.m3u8
欢笑剧场,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226203/index.m3u8
都市剧场,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226176/index.m3u8
金色学堂,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000026105/1.m3u8
卡酷少儿,http://[2409:8087:74d9:21::6]:80/270000001128/9900000040/index.m3u8
金鹰卡通,http://[2409:8087:74d9:21::6]:80/270000001128/9900000039/index.m3u8
金鹰纪实,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031203/1.m3u8
快乐垂钓,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031206/index.m3u8?channel-id=bestzb&Contentid=5000000011000031206&livemode=1&stbId=3
茶友频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031209/1.m3u8
游戏风云,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031114/1.m3u8
动漫秀场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031113/1.m3u8
嘉佳卡通,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000025964/1.m3u8
哒啵赛事,http://[2409:8087:74d9:21::6]:80/270000001128/9900000097/index.m3u8
哒啵电竞,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000003000000066/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000066&IASHttpSessionId=OTT19019320240419154124000281
优漫卡通,http://[2409:8087:74d9:21::6]:80/270000001128/9900000070/index.m3u8
哈哈炫动,http://[2409:8087:74d9:21::6]:80/270000001128/9900000069/index.m3u8
黑莓动画,http://[2409:8087:74d9:21::6]:80/270000001128/9900000096/index.m3u8
黑莓电影,http://[2409:8087:74d9:21::6]:80/270000001128/9900000095/index.m3u8
求索纪录,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000010/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000010&IASHttpSessionId=OTT19019320240419154124000281
求索生活,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000008&IASHttpSessionId=OTT19019320240419154124000281
求索动物,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000009/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000009&IASHttpSessionId=OTT19019320240419154124000281
求索科学,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000011/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000011&IASHttpSessionId=OTT19019320240419154124000281
睛彩竞技,http://[2409:8087:74d9:21::6]:80/270000001128/9900000119/index.m3u8
睛彩篮球,http://[2409:8087:74d9:21::6]:80/270000001128/9900000118/index.m3u8
睛彩青少,http://[2409:8087:74d9:21::6]:80/270000001128/9900000120/index.m3u8
超级体育,http://[2409:8087:74d9:21::6]:80/270000001128/9900000020/index.m3u8
超级电影,http://[2409:8087:74d9:21::6]:80/270000001128/9900000021/index.m3u8
超级视剧,http://[2409:8087:74d9:21::6]:80/270000001128/9900000022/index.m3u8
东北热剧,http://[2409:8087:74d9:21::6]:80/270000001128/9900000092/index.m3u8
海外剧场,http://[2409:8087:74d9:21::6]:80/270000001128/9900000115/index.m3u8
中国功夫,http://[2409:8087:74d9:21::6]:80/270000001128/9900000101/index.m3u8
军旅剧场,http://[2409:8087:74d9:21::6]:80/270000001128/9900000107/index.m3u8
惊悚悬疑,http://[2409:8087:74d9:21::6]:80/270000001128/9900000113/index.m3u8
潮妈辣婆,http://[2409:8087:74d9:21::6]:80/270000001128/9900000099/index.m3u8
精品体育,http://[2409:8087:74d9:21::6]:80/270000001128/9900000102/index.m3u8
精品纪录,http://[2409:8087:74d9:21::6]:80/270000001128/9900000109/index.m3u8
家庭剧场,http://[2409:8087:74d9:21::6]:80/270000001128/9900000108/index.m3u8
精品大剧,http://[2409:8087:74d9:21::6]:80/270000001128/9900000100/index.m3u8
军事评论,http://[2409:8087:74d9:21::6]:80/270000001128/9900000110/index.m3u8
明星大片,http://[2409:8087:74d9:21::6]:80/270000001128/9900000116/index.m3u8
欢乐剧场,http://[2409:8087:74d9:21::6]:80/270000001128/9900000091/index.m3u8
精品萌宠,http://[2409:8087:74d9:21::6]:80/270000001128/9900000122/index.m3u8
超级综艺,http://[2409:8087:74d9:21::6]:80/270000001128/9900000019/index.m3u8
金牌综艺,http://[2409:8087:74d9:21::6]:80/270000001128/9900000112/index.m3u8
炫舞未来,http://[2409:8087:74d9:21::6]:80/270000001128/9900000098/index.m3u8

埋堆堆,#genre#
埋堆堆1,http://www.52sw.top:678/play/huya.php?id=23903123
埋堆堆2,http://www.52sw.top:678/play/huya.php?id=23734169
埋堆堆3,http://www.52sw.top:678/play/huya.php?id=23735126
埋堆堆4,http://www.52sw.top:678/play/huya.php?id=23865152
埋堆堆5,http://www.52sw.top:678/play/huya.php?id=23903130
埋堆堆6,http://www.52sw.top:678/play/huya.php?id=23740156
